Description,GMP,STY,SCR,MMP,PlayerCount
Areen's Race - 2 Players,ar,ste,ar,ar2,2
Areen's Race - 3 Players,ar,ste,ar,ar3,3
Areen's Race - 4 Players,ar,ste,ar,ar4,4
Areen's Race - 5 Players,ar,ste,ar,ar5,5
Areen's Race - 6 Players,ar,ste,ar,ar6,6
Areen's Race - SinglePlayer,ar,ste,ar,ar1,1
Army Base,army,bil,army,army,
Army Base 1 Player,army,bil,army1p,army1p,1
Army Base War,abw,bil,abw,abw,1
Army Base War Snowy Version,abwsv,Rick_Army,abw,abwsv,1
AT PCA,at_pca,at_pca,at_pca,at_pca,
Aztecatl - Nextlaualli,aztec,ste2,nextlaualli,nextlaualli,
Back To The Eighties,wil,btte,btte,btte,
Base 2p,base,ste,base,base2p,2
Base 3p,base,ste,base,base3p,3
Base 4p,base,ste,base,base4p,4
Battle Zone 4 Player,battlezone,bil,battlezone,battlezone-4p,4
BC - Awkward Cargo,bc_ac,bc_ac,bc_ac,bc_ac,
BC - Awkward Cargo - Lite,bc_ac,bc_ac,bc_ac_lite,bc_ac_lite,
BC - First Blood,bc_fb,bil2,bc_fb,bc_fb,
BC - High Land - RoFl,bc_hl,bil2,bc_hl_rofl,bc_hl_rofl,
BC - High Land MoFl,bc_hl,bil2,bc_hl_mofl,bc_hl_mofl,
BC - High Land ShIm,bc_hl,bil2,bc_hl,bc_hl,
beer,beer,wil,beer,beer,
Bernaar©'s Holy Project 1Player,bernaarhp,bil,hp,hp-1p,1
Bernaar©'s Holy Project 2Player,bernaarhp,bil,hp,hp-2p,2
Bernaar©'s Holy Project 3Player,bernaarhp,bil,hp,hp-3p,3
Bernaar©'s Holy Project 4Player,bernaarhp,bil,hp,hp-4p,4
Bernaar©'s Holy Project 5Player,bernaarhp,bil,hp,hp-5p,5
Bernaar©'s Holy Project 6Player,bernaarhp,bil,hp,hp-6p,6
Bernaar©'s map 1Player,bernaarmap,ste,ber,ber-1p,1
Bernaar©'s map 2Player,bernaarmap,ste,ber,ber-2p,2
Bernaar©'s map 3Player,bernaarmap,ste,ber,ber-3p,3
Bernaar©'s map 4Player,bernaarmap,ste,ber,ber-4p,4
Bernaar©'s map 5Player,bernaarmap,ste,ber,ber-5p,5
Bernaar©'s map 6Player,bernaarmap,ste,ber,ber-6p,6
Bernaar©'s Race,brace,wil,brace,brace,
BFF Censored,bff-censored,bff-censored,bff-censored,bff-censored,
BFF MEME,bff-meme,bff-meme,bff-meme,bff-meme,
BFF Nyan,bff-wipeout,bff-nyan,bff-nyan,bff-nyan,
BFF Wipe Out,bff-wipeout,bff-wipeout,bff-wipeout,bff-wipeout,
BFF Wipe Out Extreme,bff-wipeout,bff-wipeout,bff-wipeoutextreme,bff-wipeoutextreme,
Blackout Arena,blackout_2,ste,blackout,blackout,
Blackout Arena (No Arrows),blackout_2,ste,blackout_no_arrows,blackout_no_arrows,
Blackout Arena (Tag Mode),blackout_2,ste,blackout_tagmode,blackout_tagmode,
Blast City - Courch of Prey - singleplayer test,bc_cop,bc_cop,bc_cop,bc_cop,
Blast City - Deep Water,bc_dw,bc_dw,bc_dw,bc_dw,
Blast City - Deep Water - Arena,bc_dw,bc_dw,bc_dw_a,bc_dw_a,
Blast_City Gang_Bang #p,bc_gb,bc_gb,bc_gb,bc_gb,
Block Fort Billions 2 players,Block_fort_Tag,bil,BFT-B,bft-b-2p,2
Block Fort TAG 2 players,Block_fort_Tag,bil,Block_FORT_TAG,bft-2p,2
Block Fort TAG 3 players,Block_fort_Tag,bil,Block_FORT_TAG,bft-3p,3
Block Fort TAG 4 players,Block_fort_Tag,bil,Block_FORT_TAG,bft-4p,4
Block Fort TAG 5 players,Block_fort_Tag,bil,Block_FORT_TAG,bft-5p,5
Block Fort TAG 6 players,Block_fort_Tag,bil,Block_FORT_TAG,bft-6p,6
Block Fort® TAG 1 player,Block_fort_Tag,bil,Block_FORT_TAG,bft-1p,1
Blood,ste,ste,blood,blood,
Boid Arena,Boid_Arena,ste,Boid_Arena,Boid_Arena,
Bonus race 2 player,mike1e,ste,bonusrace,bonusrace,2
Bootcamp CTV - 2 Player,bootcamp,ste,bootcamp,bootcamp-2p,2
Bootcamp CTV - 3 Player,bootcamp,ste,bootcamp,bootcamp-3p,3
Bootcamp CTV - 4 Player,bootcamp,ste,bootcamp,bootcamp-4p,4
Bootcamp CTV - 5 Player,bootcamp,ste,bootcamp,bootcamp-5p,5
Bootcamp CTV - 6 Player,bootcamp,ste,bootcamp,bootcamp-6p,6
Bot Face Off With Train,bfo,ste,bfo2,bfo2,
BOT Tiny Town 1player,MP1-comp,bil,Bot_TT1p,Bot_TT1p,1
BOT Tiny Town 2player,MP1-comp,bil,Bot_TT2p,Bot_TT2p,2
BOT Tiny Town 3player,MP1-comp,bil,Bot_TT3p,Bot_TT3p,3
BOT Tiny Town 4player,MP1-comp,bil,Bot_TT4p,Bot_TT4p,4
BOT Tiny Town 5player,MP1-comp,bil,Bot_TT5p,Bot_TT5p,5
BOT Tiny Town 6player,MP1-comp,bil,Bot_TT6p,Bot_TT6p,6
Breakout 2 Player,breakout,ste,breakout,breakout,2
Bug Test,bugtest,bil,bugtest,bugtest,
BUG Yoma i Yoli,bug,bil,bug,bug,
Cage 2,cage_2,ste,cage_2,cage_2,
Cage 2 Multiplayer,Cage2_M,ste,Cage2_M,Cage2_M,
Cage 3 Multiplayer,Cage3_M,ste,Cage3_M,Cage3_M,
Cage 4 Multiplayer,Cage4_M,ste,Cage4_M,Cage4_M,
Cage Multiplayer,Cage_M,ste,Cage_M,Cage_M,
Capital City English,capitalcity,wil,capitalcity,capitalcity-e,1
Capital City German,capitalcity,wil,capitalcity,capitalcity-g,1
Capital City Multiplayer,capitalcity,wil,capitalcity-mp,capitalcity-mp,
CapitalCity 2Player,CapitalCity,wil,CapitalCityMP-2P,CapitalCityMP-2p,2
CapitalCity 3Player,CapitalCity,wil,CapitalCityMP-3P,CapitalCityMP-3p,3
CapitalCity 4Player,CapitalCity,wil,CapitalCityMP-4P,CapitalCityMP-4p,4
CapitalCity 5Player,CapitalCity,wil,CapitalCityMP-5P,CapitalCityMP-5p,5
CapitalCity 6Player,CapitalCity,wil,CapitalCityMP-6P,CapitalCityMP-6p,6
Capture the Van 1P,ctv,bil,ctv-1p,ctv-1p,1
Capture the Van 2P,ctv,bil,ctv-2p,ctv-2p,2
Capture the Van 3P,ctv,bil,ctv-3p,ctv-3p,3
Capture the Van 4P,ctv,bil,ctv-4p,ctv-4p,4
Castles,Castles,bil,Castles,castles,4
Cherry Town 1p,cta,ct,rwa,ct-1p,1
Cherry Town 2p,cta,ct,rwa,ct-2p,2
Cherry Town 3p,cta,ct,rwa,ct-3p,3
Cherry Town 4p,cta,ct,rwa,ct-4p,4
Cherry Town 5p,cta,ct,rwa,ct-5p,5
Cherry Town 6p,cta,ct,rwa,ct-6p,6
Classic Race,Classic Race,bil,Classic Race,classic race,
Cliff Hanger 1plyr,Cliff,ste,Cliff,cliff-1p,1
Cliff Hanger 2plyr,Cliff,ste,Cliff,cliff-2p,2
Cliff Hanger 3plyr,Cliff,ste,Cliff,cliff-3p,3
Cliff Hanger 4plyr,Cliff,ste,Cliff,cliff-4p,4
Cliff Hanger 5plyr,Cliff,ste,Cliff,cliff-5p,5
Cliff Hanger 6plyr,Cliff,ste,Cliff,cliff-6p,6
Columns-Death Match,Columns-DeathMatch,ste,cdm,cdm,6
Cool_Base,Rick_Army,Rick_Army,Rick_Army,Rick_Army,
CoolBaseTrain,rick_army_water,rick_army,rick_army_train,rick_army_train,
CoolBaseWater,rick_army_water,rick_army,rick_army_water,rick_army_water,
Cranes,cranes,cranes,cranes,cranes,
Crime Does Pay 1 player :),crimepay,bil,Crime1p,crime1p,1
Crime Does Pay 2 players,crimepay,bil,Crime2p,crime2p,2
Crime Does Pay 3 players,crimepay,bil,Crime3p,crime3p,3
Crime Does Pay 4 players,crimepay,bil,Crime4p,crime4p,4
Crime Does Pay 5 players,crimepay,bil,Crime5p,crime5p,5
Crusher 1P,ctv,bil,crs-4p,crs-1p,1
Crusher 2P,ctv,bil,crs-4p,crs-2p,2
Crusher 3P,ctv,bil,crs-4p,crs-3p,3
Crusher 4P,ctv,bil,crs-4p,crs-4p,4
DAFE's Death Valley 1p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValley,dafesdeathvalley1p,1
DAFE's Death Valley 2p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValley,dafesdeathvalley2p,2
DAFE's Death Valley 3p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValley,dafesdeathvalley3p,3
DAFE's Death Valley 4p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValley,dafesdeathvalley4p,4
DAFE's Death Valley 5p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValley,dafesdeathvalley5p,5
DAFE's Death Valley 6p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValley,dafesdeathvalley6p,6
DAFE's Death Valley Lite 1p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValleyLite,dafesdeathvalleylite1p,1
DAFE's Death Valley Lite 2p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValleyLite,dafesdeathvalleylite2p,2
DAFE's Death Valley Lite 3p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValleyLite,dafesdeathvalleylite3p,3
DAFE's Death Valley Lite 4p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValleyLite,dafesdeathvalleylite4p,4
DAFE's Death Valley Lite 5p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValleyLite,dafesdeathvalleylite5p,5
DAFE's Death Valley Lite 6p,DAFESDeathValley,DAFESDeathValley,DAFESDeathValleyLite,dafesdeathvalleylite6p,6
Davidio Town,davidio_town,davidio_town,Davidio_town,davidio_town,
Death Derby Arena 2Player,dda,ste,dda,dda-2p,2
Death Derby Arena 3Player,dda,ste,dda,dda-3p,3
Death Derby Arena 4Player,dda,ste,dda,dda-4p,4
Death Derby Arena 5Player,dda,ste,dda,dda-5p,5
Death Derby Arena 6Player,dda,ste,dda,dda-6p,6
Death Match Arena Multi Player,dmamulti,ste,dmamulti,dmamulti,
Deathstruction Derby 2 Players,gta2dd,bil,gta2dd-2p,gta2dd-2p,2
Deathstruction Derby 4 Players,gta2dd,bil,gta2dd-2p,gta2dd-4p,4
DeCon King,decon-king,bil,decon-king,decon-king,
DeCon Labs,decon,bil,decon,decon,
DeCon Labs 2 Players,DeCon,bil,DeCon,decon2p,2
DeCon Labs 3 Players,DeCon,bil,DeCon,decon3p,3
DeCon Labs 4 Players,DeCon,bil,DeCon,decon4p,4
DeCon Labs 5 Players,DeCon,bil,DeCon,decon5p,5
DeCon Labs 6 Players,DeCon,bil,DeCon,decon6p,6
delete bonus,bil,bil,delete-bonus,delete-bonus,
Destruction Derby,derby,ste,destruction_derby,derby,
Destruction Derby Reloaded V.1.041,DDR,DDR,DD,ddr,
Desync,bff-wipeout,bff-wipeout,desync,desync,
DMB-DeepSource-V2 BOT 1 Player,dsv2.0,ste,dsv2.0-1-4,dsv2.0-1player,1
DMB-DeepSource-V2 BOT 2 Player,dsv2.0,ste,dsv2.0-2-4,dsv2.0-2player,2
DMB-DeepSource-V2 BOT 3 Player,dsv2.0,ste,dsv2.0-3-4,dsv2.0-3player,3
DMB-DeepSource-V2 BOT 4 Player,dsv2.0,ste,dsv2.0-4-4,dsv2.0-4player,4
DM-The2Power 2 Player,The2power,ste,The2power,The2power-2p,2
DM-The8Prison 1 Player,the8prison,bil,the8prison,the8prison-1p,1
DM-The8Prison 2 Player,the8prison,bil,the8prison,the8prison-2p,2
DM-The8Prison 3 Player,the8prison,bil,the8prison,the8prison-3p,3
DM-The8Prison 4 Player,the8prison,bil,the8prison,the8prison-4p,4
Downtown,wil-multi,wil,downtown-6P,downtown,
Downtown,wil-multi,wil,downtown-6P,downtown-6p,
Downtown Singleplayer,wil,wil,wil,downtown1p,
Driver 2's Havana,havana,bil,Havana6p,Havana6p,
Dullswill 2 Players,Dullswill_M,wil,Dullswill_M,dullswill_m2,2
Dullswill 3 Players,Dullswill_M,wil,Dullswill_M,dullswill_m3,3
Dullswill 4 Players,Dullswill_M,wil,Dullswill_M,dullswill_m4,4
Dullswill 5 Players,Dullswill_M,wil,Dullswill_M,dullswill_m5,5
Dullswill 6 Players,Dullswill_M,wil,Dullswill_M,dullswill_m6,6
ElektrogunArena,ElektrogunArena,bil,ElektrogunArena,elektrogunarena,
Elvis Rockets p2,er,ste,ers,elvis-rockets_2p,2
Elvis Rockets p3,er,ste,ers,elvis-rockets_3p,3
Elvis Rockets p4,er,ste,ers,elvis-rockets_4p,4
EpTown,EpTown,ste,EpTown,EpTown,
EptownYearsAgo,EptownYearsAgo,ste,EptownYearsAgo,EptownYearsAgo,
EpZooka,EpZooka,ste,EpZooka,EpZooka,
Equilibrium 2 players,Equilibrium,wil,Equilibrium,Equilibrium-2P,2
Equilibrium 3 players,Equilibrium,wil,Equilibrium,Equilibrium-3P,3
Equilibrium 4 players,Equilibrium,wil,EquilibriumR,Equilibrium-4P,4
Equilibrium 5 players,Equilibrium,wil,EquilibriumR,Equilibrium-5P,5
Equilibrium 6 players,Equilibrium,wil,EquilibriumR,Equilibrium-6P,6
EZ Arena 2p,EZ Arena,wil,EZ Arena,ez arena 2p,2
EZ Arena 3p,EZ Arena,wil,EZ Arena,ez arena 3p,3
EZ Arena 4p,EZ Arena,wil,EZ Arena,EZ Arena 4p,4
Face Off,MP5-comp,ste,MP5-6P,mp5-6p,
Face Off Mod - 2 Players,MP5-comp,ste,Face Off Mod 2P,Face Off Mod 2P,2
Face Off Mod - 3 Players,MP5-comp,ste,Face Off Mod 3P,Face Off Mod 3P,3
Face Off Mod - 4 Players,MP5-comp,ste,Face Off Mod 4P,Face Off Mod 4P,4
Face Off no invul 2player,MP5-comp,ste,faceoff_noinvul_2p,faceoff_noinvul_2p,2
Face Off no invul 3player,MP5-comp,ste,faceoff_noinvul_3p,faceoff_noinvul_3p,3
Face Off no invul 4player,MP5-comp,ste,faceoff_noinvul_4p,faceoff_noinvul_4p,4
Face Off no invul 5player,MP5-comp,ste,faceoff_noinvul_5p,faceoff_noinvul_5p,5
Face Off no invul 6player,MP5-comp,ste,faceoff_noinvul_6p,faceoff_noinvul_6p,6
Face Off Revised,MP5-comp,ste,faceoff-revised-6p,faceoff-revised-6p,
Face Off Revised No Mines,MP5-comp,ste,faceoff-nomines,faceoff-revised-nomines-6p,
Face Off TD,FOTD,ste,FOTD,FOTD,
Factory Industry Live,f-industry-live,wil[Logofero],f-industry-live,f-industry-live,
Factory Industry Live,f-industry-live-4p,wil[Logofero],f-industry-live-4p,f-industry-live-4p,
FifaCar 2 players,Fifa,ste,d2,FC-2p,2
Fight_Under_Bowling 2p,Fub,ste,Fightunderbowling,Fight_Under_Bowling_2p,2
Fight_Under_Bowling 3p,Fub,ste,Fightunderbowling,Fight_Under_Bowling_3p,3
Fight_Under_Bowling 4p,Fub,ste,Fightunderbowling,Fight_Under_Bowling_4p,4
Flying Car,bil,bil,flyingcar,flyingcar,
FName's map 2 player,FNmap,wil,FNscr,mp6,2
FName's map 4 player,FNmap,wil,FNscr4p,mp6-4,4
Footy Fever 2 Player,footy,ste,footy2p,footy2p,2
Footy Fever 4 Player,footy,ste,footy4p,footy4p,4
Footy Fever 6 Player,footy,ste,footy6p,footy6p,6
Fortress 1 Player,frt,ste,frt-1p,frt-1p,1
Fortress 2 Player,frt,ste,frt-2p,frt-2p,2
Fortress 3 Player,frt,ste,frt-3p,frt-3p,3
Fortress 4 Player,frt,ste,frt-4p,frt-4p,4
Fortress 5 Player,frt,ste,frt-5p,frt-5p,5
Fortress 6 Player,frt,ste,frt-6p,frt-6p,6
ga_spar_edited,ga_spar_edited,bil,gse,gse-4p,
ga_spar_edited | Infinity (game without end),ga_spar_edited,bil,gse,gse-4p-inf,
Gang War 1-player,Gang War,wil,GW-1p,GW-1p,1
Gang War 2-player,Gang War,wil,GW-2p,GW-2p,2
Gang War 3-player,Gang War,wil,GW-3p,GW-3p,3
Gang War DeatchMatch,Gang War,wil,GW-4p_DM,GW-4p_DM,4
Gang Wars 1 Player,GangWars,bil,GangWars-1p,GangWars-1p,1
Gang Wars 2 Players,GangWars,bil,GangWars-2p,GangWars-2p,2
Give Weapon,wsrace,ste,giveweapon,giveweapon,
Gladiator_Arena,Gladiator_Arena,ste,Gladiator_Arena,Gladiator_Arena,
GodMountain 1Player,vip2,ste,vip2,vip2-p1,1
GodMountain 2Player,vip2,ste,vip2,vip2-p2,2
GodMountain 3Player,vip2,ste,vip2,vip2-p3,3
GodMountain 4Player,vip2,ste,vip2,vip2-p4,4
GodMountain 5Player,vip2,ste,vip2,vip2-p5,5
GodMountain 6Player,vip2,ste,vip2,vip2-p6,6
Gods,bil,bil,gods,gods,
Golden Lap,g1,f1,f1,goldenlap,
Golden Lap 5.0,golden lap,golden lap,golden lap,golden lap,
Gouranga's Castle,GourangasCastle,GourangasCastle,GourangasCastle,GourangasCastle,
Grenade Arena 2 players,grenade,bil,grenade,Grenade Arena 2 players,2
Grenade Arena 2p,grenade,ste,grenade,grenade2p,2
Grenade Arena 3 players,grenade,bil,grenade,Grenade Arena 3 players,3
Grenade Arena 3p,grenade,ste,grenade,grenade3p,3
Grenade Arena 4 players,grenade,bil,grenade,Grenade Arena 4 players,4
Grenade Arena 4p,grenade,ste,grenade,grenade4p,4
GTA 2 ARENA 2 Player,gta2a,ste,gta2a-2p,gta2a-2p,2
GTA 2 ARENA 4 Player,gta2a,ste,gta2a-4p,gta2a-4p,2
GTA Invasion,gtainvasion,ste,gtainvasion,gtainvasion,1
GTA Space,gtaspace,bil,gtaspace,gtaspace,1
GTA Stories,GTA Stories,wil,GTA Stories,GTA Stories,
GTA1 Liberty City,GTA1-nyc,GTA1-nyc,GTA1-nyc,GTA1-nyc,
GTA1 London,GTA1-london,GTA1-london,GTA1-london,GTA1-london,
GTA1 Manchester,GTA1-mc,GTA1-london,GTA1-mc,GTA1-mc,
GTA1 San Andreas,GTA1-sanb,GTA1-sanb,GTA1-sanb,GTA1-sanb,
GTA1 San Andreas Race,GTA1-sanb,GTA1-sanb,GTA1-san-an,GTA1-san-an,
GTA1 Vice City,GTA1-miami,GTA1-miami,GTA1-miami,GTA1-miami,
GTA2XF Island Mansion - 1 Player,hingta,bil,hingtasingle,hingta1player,1
GTA2XF Island Mansion - 2 Player,hingta,bil,hingta2player,hingta2player,2
GTA2XF Island Mansion - 3 Player,hingta,bil,hingta3player,hingta3player,3
GTA2XF Island Mansion - 4 Player,hingta,bil,hingta4player,hingta4player,4
GTA2XF Island Mansion - 5 Player,hingta,bil,hingta5player,hingta5player,5
GTA2XF Island Mansion - 6 Player,hingta,bil,hingta6player,hingta6player,6
Gun'N'Molotov Arena 2 Player,Gun'N'Molotov Arena,Bil,GNMA-2P,GNMA-2P,2
Gun'N'Molotov Arena 3 Player,Gun'N'Molotov Arena,Bil,GNMA-3P,GNMA-3P,3
Gun'N'Molotov Arena 4 Player,Gun'N'Molotov Arena,Bil,GNMA-4P,GNMA-4P,4
Gun'N'Molotov Arena 5 Player,Gun'N'Molotov Arena,Bil,GNMA-5P,GNMA-5P,5
Gun'N'Molotov Arena 6 Player,Gun'N'Molotov Arena,Bil,GNMA-6P,GNMA-6P,6
Gustavob&DAFE's Pass The Bomb 1p,ptb,bil,ptb,ptb_1p,1
Gustavob&DAFE's Pass The Bomb 2p,ptb,bil,ptb,ptb_2p,2
Gustavob&DAFE's Pass The Bomb 3p,ptb,bil,ptb,ptb_3p,3
Gustavob&DAFE's Pass The Bomb 4p,ptb,bil,ptb,ptb_4p,4
Gustavob&DAFE's Pass The Bomb 5p,ptb,bil,ptb,ptb_5p,5
Gustavob&DAFE's Pass The Bomb 6p,ptb,bil,ptb,ptb_6p,6
Gustavob's RC Race 1player,RCRace,ste,RCRace,RCRace,1
Gustavob's RC Race 2player,RCRace,ste,RCRace,RCRace2p,2
Gustavob's RC Race 3player,RCRace,ste,RCRace,RCRace3p,3
Gustavob's RC Race 4player,RCRace,ste,RCRace,RCRace4p,4
GW Yakuza vs Loony,Gang War,wil,GW-4p_YvsL,GW-4p_YvsL,4
GW Zaibatsu vs Loony,Gang War,wil,GW-4p_ZvsL,GW-4p_ZvsL,4
GW Zaibatsu vs Yakuza,Gang War,wil,GW-4p_ZvsY,GW-4p_ZvsY,4
Hafenmeile,hafenmeile,hafenmeile,hafenmeile,hafenmeile,
Harbor Town 1P Bot Version,Harbor Town,Bil,HTBV-1P,HTBV-1P,1
Harbor Town 2P Bot Version,Harbor Town,Bil,HTBV-2P,HTBV-2P,2
Harbor Town 3P Bot Version,Harbor Town,Bil,HTBV-3P,HTBV-3P,3
Harbor Town 4P Bot Version,Harbor Town,Bil,HTBV-4P,HTBV-4P,4
Harbor Town 5P Bot Version,Harbor Town,Bil,HTBV-5P,HTBV-5P,5
Harbor Town 6P Bot Version,Harbor Town,Bil,HTBV-6P,HTBV-6P,6
Hard Race 1 player,Hard Race,ste,Hard Race,HR-1p,1
Hard Race 2 players,Hard Race,ste,Hard Race,HR-2p,2
Hard Race 3 players,Hard Race,ste,Hard Race,HR-3p,3
Hard Race 4 players,Hard Race,ste,Hard Race,HR-4p,4
Hard Race 5 players,Hard Race,ste,Hard Race,HR-5p,5
Hard Race 6 players,Hard Race,ste,Hard Race,HR-6p,6
Health Test,ste,ste,healthtest,healthtest,
Hidden Surprise,MP2-comp,wil,MP2-6P,mp2-6p,
Hidden Surprise Army,MP2-comp,wil,hiddenarmy,hiddenarmy,
Hidden surprise revised 1player,MP2-comp,wil,HSRev,HSrev1p,1
Hidden surprise revised 2players,MP2-comp,wil,HSRev,HSrev2p,2
Hidden surprise revised 3players,MP2-comp,wil,HSRev,HSrev3p,3
Hidden surprise revised 4players,MP2-comp,wil,HSRev,HSrev4p,4
Hidden surprise revised 5players,MP2-comp,wil,HSRev,HSrev5p,5
Hidden surprise revised 6players,MP2-comp,wil,HSRev,HSrev6p,6
Hidden surprise Team DM Edit 4players (Auto WW),HSTD,HS,HSTD Edit aWW,HSTD Edit aWW,4
Hidden Surprise Turbo,MP2-comp,wil,hsturbo,hsturbo,
Hostages,rj_hostages,rj_hostages,rj_hostages,rj_hostages,
Hube,bil,bil,hube,hube,1
Hydrolite 2 Players,war,bil,war,hydrolite-2p,2
illspirit test 2p,illMP,ste,illMP-2,illMP-2,2
illspirit test 3p,illMP,ste,illMP-3,illMP-3,3
illspirit test 4p,illMP,ste,illMP-4,illMP-4,4
Industrial,bil-multi,bil,Industrial-6P,industrial,
Industrial,bil-multi,bil,Industrial-6P,industrial-6p,
Industrial Co-op,bil,bil,industrial-coop,industrial-coop,
Industrial Island (by T-Low) 1 Player,industrial_island,bil,industrial_island,industrial_island-1p,1
Industrial Island (by T-Low) 2 Player,industrial_island,bil,industrial_island,industrial_island-2p,2
Industrial Island (by T-Low) 3 Player,industrial_island,bil,industrial_island,industrial_island-3p,3
Industrial Island (by T-Low) 4 Player,industrial_island,bil,industrial_island,industrial_island-4p,4
Industrial Island (by T-Low) 5 Player,industrial_island,bil,industrial_island,industrial_island-5p,5
Insane Stunt Race,isr,ste,isr,isr,
Intruder Alert! 2P,IntruderAlert,Bil,IA-2P,IA-2P,2
Intruder Alert! 3P,IntruderAlert,Bil,IA-3P,IA-3P,3
Intruder Alert! 4P,IntruderAlert,Bil,IA-4P,IA-4P,4
Intruder Alert! 5P,IntruderAlert,Bil,IA-5P,IA-5P,5
Intruder Alert! 6P,IntruderAlert,Bil,IA-6P,IA-6P,6
Invis,invis,bil,invis,invis,
Island Hopper 1P,ihp,bil,ihp-1p,ihp-1p,1
Island Hopper 2P,ihp,bil,ihp-2p,ihp-2p,2
Island Hopper 3P,ihp,bil,ihp-3p,ihp-3p,3
Island Hopper 4P,ihp,bil,ihp-4p,ihp-4p,4
Island Hopper 5P,ihp,bil,ihp-5p,ihp-5p,5
Island Hopper 6P,ihp,bil,ihp-6p,ihp-6p,6
Jailbreak,jailbreak,ste,jailbreak,jailbreak,
Jailbreak: Army Base,jailbreak,ste,jailbreak-base,jailbreak-base,
Jailbreak: Showdown,jailbreak,ste,showdown,showdown,
JAMALS gun arena 2 Player,JAMALS gun arena,ste,JAMALS gun arena,JAMALS Gun Arena2,2
JAMALS gun arena 3 Player,JAMALS gun arena,ste,JAMALS gun arena,JAMALS Gun Arena3,3
JAMALS gun arena 4 Player,JAMALS gun arena,ste,JAMALS gun arena,Jamals gun arena4,4
Koktail"S Game 4P,KoktailSGame,ste,KoktailSGame4P,KoktailSGame-4P,4
Koktail'S Game 2P,KoktailSGame,ste,KoktailSGame2P,KoktailSGame-2P,2
Koktail'S Game 3P,KoktailSGame,ste,KoktailSGame3P,KoktailSGame-3P,3
Koktail'S World 2P,KoktailSWorld,ste,KoktailsWorld2P,KoktailsWorld-2P,2
Koktail'S World 3P,KoktailSWorld,ste,KoktailsWorld3P,KoktailsWorld-3P,3
Koktail'S World 4P,KoktailSWorld,ste,KoktailsWorld4P,KoktailsWorld-4P,4
Krishna City alpha,Krishna_City,bil,Krishna_City,Krishna_City,2
La Marina,mike2m_mod,bil,lm,la_marina,
LavaCage,LavaCage,mr,LavaCage,LavaCage,
Light Headed V3.0 2 Player,Light Headed 3,bil,light3-2p,light3-2p,2
